sex,age,parch,fare,class,embark_town,alone,label
female,28.0,0,12.65,Second,Southampton,True,1
male,28.0,0,13.5,Second,Southampton,True,0
male,36.0,0,7.4958,Third,Southampton,True,0
female,,0,7.75,Third,Queenstown,True,1
male,29.0,0,10.5,Second,Southampton,True,0
male,,0,7.75,Third,Queenstown,True,0
male,,0,14.5,Third,Southampton,True,0
male,,0,23.25,Third,Queenstown,False,1
male,31.0,0,7.775,Third,Southampton,True,0
female,18.0,0,7.4958,Third,Southampton,True,1
male,20.0,1,15.7417,Third,Cherbourg,False,1
male,47.0,0,52.0,First,Southampton,True,0
male,18.0,0,7.7958,Third,Southampton,True,0
female,,0,7.75,Third,Queenstown,True,1
male,32.0,0,7.925,Third,Southampton,True,1
female,,0,24.15,Third,Queenstown,False,1
male,23.0,0,9.225,Third,Southampton,True,0
male,,0,7.775,Third,Southampton,True,0
male,45.5,0,7.225,Third,Cherbourg,True,0
male,49.0,0,89.1042,First,Cherbourg,False,1
male,27.0,0,53.1,First,Southampton,False,1
female,50.0,0,28.7125,First,Cherbourg,True,0
male,34.0,0,21.0,Second,Southampton,False,0
male,16.0,0,8.05,Third,Southampton,True,0
male,54.0,0,26.0,Second,Southampton,False,0
male,42.0,0,7.65,Third,Southampton,True,0
male,40.0,0,0.0,First,Southampton,True,0
male,0.42,1,8.5167,Third,Cherbourg,False,1
male,45.0,0,26.55,First,Southampton,True,0
female,4.0,1,39.0,Second,Southampton,False,1
male,,0,21.6792,Third,Cherbourg,False,0
male,27.0,0,14.4542,Third,Cherbourg,False,0
male,20.0,0,4.0125,Third,Cherbourg,True,0
male,36.0,0,13.0,Second,Southampton,True,0
male,,0,7.8958,Third,Southampton,True,0
male,,0,7.2292,Third,Cherbourg,True,0
male,25.0,0,7.775,Third,Southampton,False,1
male,,0,8.4583,Third,Queenstown,True,0
male,,0,50.0,First,Southampton,True,0
female,6.0,1,33.0,Second,Southampton,False,1
male,26.0,0,8.05,Third,Southampton,True,0
female,24.0,2,14.5,Second,Southampton,False,1
male,35.0,0,8.05,Third,Southampton,True,0
female,11.0,2,31.275,Third,Southampton,False,0
male,80.0,0,30.0,First,Southampton,True,1
female,1.0,2,15.7417,Third,Cherbourg,False,1
female,40.0,0,153.4625,First,Southampton,True,1
female,7.0,2,26.25,Second,Southampton,False,1
male,18.0,0,11.5,Second,Southampton,True,0
female,33.0,0,53.1,First,Southampton,False,1
male,74.0,0,7.775,Third,Southampton,True,0
female,,0,15.5,Third,Queenstown,False,1
female,21.0,2,262.375,First,Cherbourg,False,1
male,64.0,4,263.0,First,Southampton,False,0
male,30.0,0,8.05,Third,Southampton,True,0
female,18.0,1,14.4542,Third,Cherbourg,False,0
male,21.0,0,7.925,Third,Southampton,True,0
female,45.0,1,26.25,Second,Southampton,False,1
female,,0,14.4583,Third,Cherbourg,False,0
male,,0,0.0,First,Southampton,True,0
male,42.0,0,8.6625,Third,Southampton,True,0
male,19.0,0,10.5,Second,Southampton,True,0
female,15.0,0,8.0292,Third,Queenstown,True,1
female,39.0,5,29.125,Third,Queenstown,False,0
female,,0,16.1,Third,Southampton,False,1
female,40.0,0,15.75,Second,Southampton,True,1
female,38.0,0,227.525,First,Cherbourg,True,1
male,,0,15.5,Third,Queenstown,False,0
male,56.0,0,30.6958,First,Cherbourg,True,0
male,,0,8.05,Third,Southampton,True,0
female,23.0,0,113.275,First,Cherbourg,False,1
male,,0,7.8958,Third,Southampton,True,0
female,31.0,1,26.25,Second,Southampton,False,1
male,37.0,0,53.1,First,Southampton,False,0
female,48.0,2,65.0,Second,Southampton,False,1
male,51.0,0,8.05,Third,Southampton,True,0
male,,0,7.8958,Third,Southampton,True,0
male,23.0,0,7.8542,Third,Southampton,True,0
male,23.0,0,13.0,Second,Southampton,True,0
male,34.0,1,14.4,Third,Southampton,False,0
male,40.0,0,7.8958,Third,Southampton,True,0
male,70.0,1,71.0,First,Southampton,False,0
female,14.0,2,120.0,First,Southampton,False,1
male,3.0,1,26.0,Second,Southampton,False,1
male,9.0,2,20.525,Third,Southampton,False,1
male,,0,8.05,Third,Southampton,True,0
male,16.0,0,8.05,Third,Southampton,True,1
female,41.0,2,20.2125,Third,Southampton,False,0
female,,2,7.75,Third,Queenstown,False,0
male,36.0,0,0.0,Third,Southampton,True,0
male,25.0,0,13.0,Second,Southampton,True,0
female,33.0,2,27.75,Second,Southampton,False,1
male,21.0,0,11.5,Second,Southampton,False,0
male,33.0,1,20.525,Third,Southampton,False,0
male,,0,8.05,Third,Southampton,True,0
female,29.0,1,10.4625,Third,Southampton,False,0
female,25.0,0,7.775,Third,Southampton,True,0
male,24.0,0,8.05,Third,Southampton,True,0
male,25.0,0,7.25,Third,Southampton,True,0
female,36.0,0,13.0,Second,Southampton,True,1
female,60.0,0,75.25,First,Cherbourg,False,1
male,6.0,1,12.475,Third,Southampton,False,1
male,32.0,0,10.5,Second,Southampton,True,0
male,42.0,0,13.0,Second,Southampton,True,0
male,,0,7.8958,Third,Cherbourg,True,0
female,52.0,1,93.5,First,Southampton,False,1
male,,0,7.75,Third,Queenstown,True,0
male,48.0,0,76.7292,First,Cherbourg,False,1
male,19.0,0,10.5,Second,Southampton,True,1
male,36.0,0,40.125,First,Cherbourg,True,0
female,38.0,0,80.0,First,,True,1
male,22.0,0,7.5208,Third,Southampton,True,0
male,45.0,0,83.475,First,Southampton,False,0
male,59.0,0,13.5,Second,Southampton,True,0
female,29.0,2,15.2458,Third,Cherbourg,False,1
male,28.0,0,10.5,Second,Southampton,True,0
female,28.0,0,13.0,Second,Southampton,True,1
male,,0,7.7292,Third,Queenstown,True,0
male,2.0,1,39.6875,Third,Southampton,False,0
male,,0,221.7792,First,Southampton,True,0
male,22.0,0,7.125,Third,Southampton,True,0
female,56.0,1,83.1583,First,Cherbourg,False,1
male,,0,8.6625,Third,Southampton,True,0
female,41.0,1,19.5,Second,Southampton,False,1
male,30.0,0,8.05,Third,Southampton,True,0
male,36.0,0,26.3875,First,Southampton,True,1
male,,0,26.0,First,Southampton,True,0
male,38.0,0,90.0,First,Southampton,False,1
male,51.0,0,7.75,Third,Southampton,True,0
female,,2,69.55,Third,Southampton,False,0
